data	data	307476	308320	920980	922696	156240	133304	368988	239476	100588	32376	204952	307256	303844	125788	221012	129236	264904	170944	735656	869172	75568	80820	431708	424920	67100	87072	28612	59100	643224	485544	396120	601372	300452	669004	129016	190588	284448	346504	119612	188352	47192	57012	194464	265104	164800	428908	262272	330204	173004	410420	383408	221496	68556	74460	268940	389212	140596	203204	103088	218056	158412	176148	84620	176300	119412	118396	281416	504976	258476	239712	373464	416960	391028	400664	56696	21000	183656	242496	81296	56020	166816	138020	94320	77816	265436	263180	29188	26292	239192	210916	471368	519964	298524	317448	36084	68676	287860	227520	503848	427044	200048	125248	313164	267164	126380	179796	15364	44976	47008	80492	258128	290132	210936	153940	137176	40864	
data	data	Precentral_L	Precentral_R	Frontal_Sup_L	Frontal_Sup_R	Frontal_Sup_Orb_L	Frontal_Sup_Orb_R	Frontal_Mid_L	Frontal_Mid_R	Frontal_Mid_Orb_L	Frontal_Mid_Orb_R	Frontal_Inf_Oper_L	Frontal_Inf_Oper_R	Frontal_Inf_Tri_L	Frontal_Inf_Tri_R	Frontal_Inf_Orb_L	Frontal_Inf_Orb_R	Rolandic_Oper_L	Rolandic_Oper_R	Supp_Motor_Area_L	Supp_Motor_Area_R	Olfactory_L	Olfactory_R	Frontal_Sup_Medial_L	Frontal_Sup_Medial_R	Frontal_Med_Orb_L	Frontal_Med_Orb_R	Rectus_L	Rectus_R	Insula_L	Insula_R	Cingulum_Ant_L	Cingulum_Ant_R	Cingulum_Mid_L	Cingulum_Mid_R	Cingulum_Post_L	Cingulum_Post_R	Hippocampus_L	Hippocampus_R	ParaHippocampal_L	ParaHippocampal_R	Amygdala_L	Amygdala_R	Calcarine_L	Calcarine_R	Cuneus_L	Cuneus_R	Lingual_L	Lingual_R	Occipital_Sup_L	Occipital_Sup_R	Occipital_Mid_L	Occipital_Mid_R	Occipital_Inf_L	Occipital_Inf_R	Fusiform_L	Fusiform_R	Postcentral_L	Postcentral_R	Parietal_Sup_L	Parietal_Sup_R	Parietal_Inf_L	Parietal_Inf_R	SupraMarginal_L	SupraMarginal_R	Angular_L	Angular_R	Precuneus_L	Precuneus_R	Paracentral_Lobule_L	Paracentral_Lobule_R	Caudate_L	Caudate_R	Putamen_L	Putamen_R	Pallidum_L	Pallidum_R	Thalamus_L	Thalamus_R	Heschl_L	Heschl_R	Temporal_Sup_L	Temporal_Sup_R	Temporal_Pole_Sup_L	Temporal_Pole_Sup_R	Temporal_Mid_L	Temporal_Mid_R	Temporal_Pole_Mid_L	Temporal_Pole_Mid_R	Temporal_Inf_L	Temporal_Inf_R	Cerebelum_Crus1_L	Cerebelum_Crus1_R	Cerebelum_Crus2_L	Cerebelum_Crus2_R	Cerebelum_3_L	Cerebelum_3_R	Cerebelum_4_5_L	Cerebelum_4_5_R	Cerebelum_6_L	Cerebelum_6_R	Cerebelum_7b_L	Cerebelum_7b_R	Cerebelum_8_L	Cerebelum_8_R	Cerebelum_9_L	Cerebelum_9_R	Cerebelum_10_L	Cerebelum_10_R	Vermis_1_2	Vermis_3	Vermis_4_5	Vermis_6	Vermis_7	Vermis_8	Vermis_9	Vermis_10	
307476	Precentral_L	0	948	15962	802	0	0	14432	0	0	0	11178	0	2494	0	0	0	8798	0	10778	820	0	0	76	0	0	0	0	0	8354	0	0	0	110	256	1762	2124	8496	1952	716	454	0	0	0	0	0	0	0	0	0	0	1628	0	0	0	78	82	17510	0	330	0	1920	0	1528	0	144	0	608	202	14374	0	828	0	4318	0	790	0	12378	2128	1296	0	620	0	0	0	1036	0	0	0	1428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
308320	Precentral_R	948	0	870	21694	198	0	84	5768	0	0	0	6154	286	264	440	0	118	3952	888	14842	0	0	0	130	142	0	0	0	720	2846	122	0	0	2122	1350	2958	1714	5330	624	700	0	0	0	2834	0	1746	128	424	0	1252	0	552	0	80	0	916	0	15500	0	498	0	608	0	2260	0	0	0	4158	1650	7382	3198	6270	1356	2494	0	102	2376	19920	184	1612	0	324	0	0	0	594	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
920980	Frontal_Sup_L	15962	870	0	10362	11284	100	64054	1692	2598	0	17528	1426	18258	250	7724	112	18228	200	75432	14282	0	0	42120	6072	4836	112	0	0	44490	836	15146	5448	10174	5728	0	108	5602	184	378	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	594	0	2750	116	132	0	176	0	354	0	0	0	310	0	7900	0	10308	1536	24202	958	2504	0	898	260	1948	0	2070	0	466	0	286	0	0	0	972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
922696	Frontal_Sup_R	802	21694	10362	0	488	4906	1048	28572	294	214	164	18896	762	4012	932	3572	194	5806	13734	72124	102	164	12550	41140	436	2190	0	312	1178	24692	8938	41332	5516	30658	988	2084	1598	5968	662	1308	0	224	0	0	0	0	90	0	0	0	0	0	0	0	0	738	0	736	0	0	0	0	0	0	0	0	0	0	1552	0	5182	28146	3306	21764	0	1614	2380	24364	168	192	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
156240	Frontal_Sup_Orb_L	0	198	11284	488	0	0	1948	770	9470	0	0	322	1986	0	9276	0	0	0	460	182	1792	0	5536	156	9004	0	4448	0	2874	176	4832	356	246	114	0	0	76	0	112	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6566	326	4290	0	0	0	0	0	0	0	0	0	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
133304	Frontal_Sup_Orb_R	0	0	100	4906	0	0	0	290	0	4144	0	0	0	0	0	3266	0	0	0	1528	792	2812	290	6248	108	7614	0	7966	0	726	2168	7270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	8804	274	6286	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
368988	Frontal_Mid_L	14432	84	64054	1048	1948	0	0	84	4250	0	9128	138	21530	0	4206	0	2542	0	6062	392	0	0	18554	1946	0	0	0	0	10372	130	4146	958	4528	1830	198	266	2674	244	164	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	774	0	286	0	0	0	0	0	0	0	486	0	284	0	1004	0	3130	0	194	0	810	252	166	0	420	0	334	0	78	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
239476	Frontal_Mid_R	0	5768	1692	28572	770	290	84	0	0	1840	0	11706	372	15002	580	5890	0	1502	808	4196	0	0	1096	5346	614	0	0	0	86	11318	364	3356	684	4530	0	0	0	1726	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	220	0	0	0	0	0	0	0	0	0	0	0	0	3520	1032	1050	4608	0	168	0	384	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100588	Frontal_Mid_Orb_L	0	0	2598	294	9470	0	4250	0	0	0	108	188	6588	0	14308	0	0	0	368	270	392	0	272	0	666	0	1536	0	3142	170	868	166	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1504	0	2240	0	0	0	0	0	0	0	0	0	664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32376	Frontal_Mid_Orb_R	0	0	0	214	0	4144	0	1840	0	0	0	0	0	690	0	6072	0	0	0	170	0	244	0	0	0	200	0	422	0	556	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	0	926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
204952	Frontal_Inf_Oper_L	11178	0	17528	164	0	0	9128	0	108	0	0	0	13052	0	408	0	11462	0	7894	222	0	0	1030	90	0	0	0	0	19408	0	1210	636	542	76	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	1690	0	0	0	96	0	0	0	0	0	0	0	108	0	1420	0	1240	0	0	0	0	0	194	0	1308	0	1770	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
307256	Frontal_Inf_Oper_R	0	6154	1426	18896	322	0	138	11706	188	0	0	0	574	7422	710	1148	0	9232	1552	10536	0	0	1428	5100	242	0	0	0	274	29910	1308	7044	1260	9278	0	0	0	4058	0	820	0	0	0	0	0	692	0	0	0	742	0	214	0	0	0	404	0	1272	0	0	0	0	0	506	0	0	0	780	0	76	3256	1836	1178	10152	0	0	0	692	0	198	0	0	0	904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
303844	Frontal_Inf_Tri_L	2494	286	18258	762	1986	0	21530	372	6588	0	13052	574	0	0	18640	0	2422	0	4232	790	0	0	5026	388	0	0	0	0	26950	292	7472	1716	3352	190	0	0	90	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	8902	278	3172	196	0	0	0	0	0	0	178	0	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
125788	Frontal_Inf_Tri_R	0	264	250	4012	0	0	0	15002	0	690	0	7422	0	0	0	5770	0	552	246	1746	0	0	592	1140	0	0	0	0	0	13290	528	3298	486	3116	0	0	0	920	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0	2894	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
221012	Frontal_Inf_Orb_L	0	440	7724	932	9276	0	4206	580	14308	0	408	710	18640	0	0	0	158	0	2324	776	1792	0	1780	288	362	0	1646	0	18608	328	2752	954	1200	186	0	0	328	106	258	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5610	448	9792	202	0	0	0	0	0	0	84	0	2772	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
129236	Frontal_Inf_Orb_R	0	0	112	3572	0	3266	0	5890	0	6072	0	1148	0	5770	0	0	0	576	258	2800	0	1284	0	262	0	0	0	828	0	14970	272	1112	158	986	0	0	0	196	0	80	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	3082	154	5524	0	0	0	0	0	0	0	2138	0	2732	0	502	0	222	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
